Application #,Patent #
"12/648,503","8,294,105"
"10/255,359",7171204
"12/345,096","8,200,496"
"13/801,095","9,131,478"
"10/961,322",7250904
"11/104,003","7,668,097"
"11/423,513","7,600,880"
"10/437,220",7103319
"10/885,193",7190311
"12/645,244","8,391,719"
"08/715,887",6134223
"10/497,869","7,043,249"
"13/458,435","8,837,302"
"09/746,347","6,694,060"
"10/083,016","6,765,474"
"08/904,205",5999832
"10/689,476",7433331
"11/624,731","8,285,279"
"10/108,880",6771991
"11/070,178",7197328
"12/979,846","8,902,830"
"09/275,658",6434391
"11/070,129","7,203,897"
"09/760,984",6721267
"09/161,817","6,269,254"
"09/867,236",7068701
"09/282,705",6091229
"10/437,667",7447765
"11/759,014",7609836
"10/899,966",7169250
"08/947,276",5920286
"11/208,673","7,176,838"
"10/349,006",7200363
"10/183,130",7237108
"08/587,601",5809421
"10/015,158",7227845
"10/334,848",8312131
"10/694,464",7471749
"13/495,516","9,143,293"
"09/277,304",6223291
"08/578,845",5691622
"12/109,034","8,160,651"
"10/001,295",7024195
"10/246,222",6957073
"13/646,798","9,131,015"
"09/508,183",6807527
"08/962,517",6101175
"10/135,614",7024207
"10/136,084","6,661,371"
"09/944,568",6624726
"11/683,030","7,933,238"
"09/686,732",6606483
"11/210,031","7,596,099"
"12/144,413","8,325,711"
"09/811,213",6928063
"12/144,455","8,073,514"
"12/980,410",8395893
"09/728,804",6455194
"12/398,105","8,229,354"
"08/959,882",6005498
"13/437,957","8,760,406"
"11/023,741",7424229
"11/611,725",8050627
"13/172,461","9,083,779"
"09/870,181",6764788
"09/462,048",6549523
"10/861,161",7131192
"09/928,140",7061879
"10/994,564",7486828
"12/287,084",7738260
"08/684,599",5801707
"10/012,947",6667769
"09/920,024",6774796
"08/409,237",5920576
"13/353,390","8,880,012"
"13/116,531","8,396,424"
"10/976,727",7277019
"11/275,982",7653813
"09/921,234",6958984
"09/902,438",6842484
"10/424,017",6819083
"09/341,029",6515577
"09/097,645",6259733
"13/566,381","8,761,109"
"08/865,619",5807412
"09/713,906",6444352
"10/180,988","7,460,525"
"09/020,953",6192353
"12/116,335","9,064,465"
"10/022,269",7180875
"13/343,094","8,560,016"
"11/214,490",7690006
"12/975,003","8,953,928"
"10/874,062","7,180,756"
"09/535,924",6944137
"10/975,700","8,504,574"
"10/910,923","7,646,762"
"12/396,498",8374635
"10/160,590","8,031,059"
"09/126,828",6128478
"09/757,409",6920119
"11/689,492","7,796,639"
"09/017,563",6134121
"08/858,257",6047033
"08/771,617",5940741
"08/706,881",5640166
"11/611,439",7912508
"12/233,304",7907909
"11/272,853","7,787,421"
"10/052,127",7149521
"09/752,570",7035270
"08/769,026",6011784
"08/806,949","6,104,993"
"12/337,269",8453194
"08/895,779",5831960
"09/031,987",6078809
"11/962,934","8,401,244"
"11/769,288",8060162
"10/744,822",6947406
"10/718,073",7369777
"08/893,131",6072831
"09/710,321",6822974
"09/164,577",6425133
"10/208,389",7233896
"08/840,315",5943505
"10/903,353",7362803
"11/762,232",8131286
"09/209,098",6151501
"08/722,382",6160805
"12/067,950",8005127
"10/075,888","8,763,061"
"12/035,455",8086195
"12/578,000","8,320,386"
"13/051,048","8,605,615"
"08/485,932",6205344
"08/657,267",5745481
"10/671,213",6973325
"10/944,965",7190263
"08/672,703",5771461
"12/237,970",8139367
"11/087,892",6961022
"08/978,552",5974100
"09/256,284",6212362
"09/513,358",6708023
"08/947,830",5990806
"11/829,134",8018872
"11/027,265","7,310,374"
"10/212,821",7221670
"11/949,128",8064641
"08/963,324",5948562
"11/949,258",8315430
"10/648,724",7336621
"09/459,688",6246676
"08/891,956",5953413
"10/857,242",7489930
"11/385,566",7273993
"09/988,402",7159120
"13/337,330","8,811,579"
"11/612,832",7271948
"10/118,275",6908500
"12/873,552","8,976,117"
"11/928,760","9,060,245"
"11/461,472",7672671
"10/274,864",6963739
"09/338,873","6,275,536"
"08/617,462",5812542
"11/210,324","7,199,762"
"08/883,019",6073092
"08/972,554",6047084
"12/633,319","8,904,292"
"11/685,614",7908475
"12/483,843","8,457,618"
"08/636,110",5573869
"12/759,872",8264406
"09/387,107",6327299
"09/781,142",6594247
"09/667,641",7710522
"11/879,384","8,954,512"
"09/373,866",6804782
"09/138,935",6125262
"08/866,562",5867510
"11/344,456",7710481
"10/210,729",6763162
"09/256,279","6,275,800"
"09/351,490",6459440
"11/553,845",7642964
"10/892,858","7,075,487"
"13/706,873",9148787
"09/368,267",6175561
"09/898,168",6978022
"09/014,525",6930997
"12/023,471","8,583,107"
"11/859,375",7912020
"12/099,198","8,374,153"
"11/610,180",7787833
"13/285,271","8,872,970"
"13/205,658",8611829
"09/026,038",6493875
"13/647,427","9,141,195"
"09/050,184",6163765
"11/378,175","7,683,918"
"09/730,883",6373437
"11/383,506",7230550
"11/469,072",7788394
"10/272,174",7532609
"11/273,283","8,320,326"
"09/032,722",6104991
"11/256,796",7447531
"12/974,959","8,995,821"
"11/122,627",7807307
"13/071,233","9,100,689"
"11/590,275",7468573
"13/599,587",8364477
"12/574,487","8,045,519"
"10/959,832",7237170
"09/470,552",6130518
"12/483,088","8,947,534"
"12/168,477","8,189,778"
"10/646,329",6967467
"10/133,149",6788731
"09/637,763",6587398
"08/924,261",6351656
"10/075,045",6937874
"10/040,610",6748324
"13/795,286","9,041,671"
"11/683,719","8,509,788"
"09/592,209","6,782,099"
"10/835,971","7,058,407"
"10/424,121",7500198
"09/454,846","6,424,623"
"08/680,665",5758264
"09/434,927","6,424,743"
"12/872,085","8,509,705"
"11/127,547",7603120
"11/616,855",8184359
"08/965,691","5,850,611"
"09/792,815",7050419
"13/732,515","8,902,010"
"09/667,979",6625425
